title_or_file,status_rule,organization,year,source_of_rule
SCF – Monitoring Land Use,B1_REMOVE_NO_PDF_NOT_NECESSARY,WBCSD Soft Commodity Forum (SCF),2023,Pasted Importing PDFs and Protocol history / current chat correction
SCF Methodologies,B1_REMOVE_NO_PDF_NOT_NECESSARY,WBCSD Soft Commodity Forum (SCF),2023,Pasted Importing PDFs and Protocol history / current chat correction
Guia para verificação dos relatórios de progresso de compromissos públicos: Soja livre de desmatamento e com respeito aos direitos humanos. Soja na Linha,B1_REMOVE_NO_PDF_NOT_NECESSARY,IMAFLORA,2022,Pasted Importing PDFs and Protocol history / current chat correction
EU Regulation on Deforestation-Free Products: Operational Guidance for Cocoa Producers and Importers,B1_REMOVE_NO_PDF_NOT_NECESSARY,Proforest,2022,Pasted Importing PDFs and Protocol history / current chat correction
Guidance D: Geolocation Data Requirements & Risk Maps,B1_REMOVE_NO_PDF_NOT_NECESSARY,Rainforest Alliance,2021,Pasted Importing PDFs and Protocol history / current chat correction
How the Rainforest Alliance supports EUDR compliance,B1_REMOVE_NO_PDF_NOT_NECESSARY,Rainforest Alliance,2025,Pasted Importing PDFs and Protocol history / current chat correction
Management Annex (Geolocation requirements),B1_REMOVE_NO_PDF_NOT_NECESSARY,Rainforest Alliance,2025,Pasted Importing PDFs and Protocol history / current chat correction
Geo-Mapping (EUDR-ready),B1_REMOVE_NO_PDF_NOT_NECESSARY,RubberWay,2024,Pasted Importing PDFs and Protocol history / current chat correction
Making open forest data safe for EUDR compliance,B1_REMOVE_NO_PDF_NOT_NECESSARY,Satelligence,2024,Pasted Importing PDFs and Protocol history / current chat correction
The Forest Data Partnership unites to accelerate traceability & EUDR compliance,B1_REMOVE_NO_PDF_NOT_NECESSARY,TechnoServe,2024,Pasted Importing PDFs and Protocol history / current chat correction
Soft Commodities Forum Progress Report (Dec 2024),B1_REMOVE_NO_PDF_NOT_NECESSARY,WBCSD Soft Commodity Forum (SCF),2024,Pasted Importing PDFs and Protocol history / current chat correction
Soft Commodities Forum Progress Report: Executive Summary,B1_REMOVE_NO_PDF_NOT_NECESSARY,WBCSD Soft Commodity Forum (SCF),2024,Pasted Importing PDFs and Protocol history / current chat correction
Disclosure cycle: questionnaires & guidance,B1_REMOVE_NO_PDF_NOT_NECESSARY,Carbon Disclosure Project (CDP.net),2025,Pasted Importing PDFs and Protocol history / current chat correction
"Decree No. 7,830 (establishes SICAR/CAR)",B1_REMOVE_NO_PDF_NOT_NECESSARY,Government of Brazil,2012,Pasted Importing PDFs and Protocol history / current chat correction
"Decree No. 8,235 (PRA)",B1_REMOVE_NO_PDF_NOT_NECESSARY,Government of Brazil,2014,Pasted Importing PDFs and Protocol history / current chat correction
List of Nominated Warehousekeepers & Warehouses,B1_REMOVE_NO_PDF_NOT_NECESSARY,"Intercontinental Exchange, Inc. (ICE)",2025,Pasted Importing PDFs and Protocol history / current chat correction
Amendments to Coffee “C” Futures Rules (EUDR),B1_REMOVE_NO_PDF_NOT_NECESSARY,"Intercontinental Exchange, Inc. (ICE)",2024,Pasted Importing PDFs and Protocol history / current chat correction
Sourcing Hub: Country Risk Profiles,B1_REMOVE_NO_PDF_NOT_NECESSARY,Preferred by Nature,2017,Pasted Importing PDFs and Protocol history / current chat correction
Universal Mill List,B1_REMOVE_NO_PDF_NOT_NECESSARY,Rainforest Alliance / WRI / Proforest / Daemeter,2018,Pasted Importing PDFs and Protocol history / current chat correction
EUDR due diligence solutions,B1_REMOVE_NO_PDF_NOT_NECESSARY,Satelligence,2024,Pasted Importing PDFs and Protocol history / current chat correction
ice-praesentation.pdf,EXCLUDE_CONFIDENTIAL_PENDING_HISTORY_CONFIRMATION,"Intercontinental Exchange, Inc. (ICE)",unknown,Pasted Importing PDFs and Protocol history / current chat correction
